customer_id,segment,age,preferred_channel,frequency,monetary_total,monetary_avg,monetary_std,n_channels,n_categories,recency_days,active_span_days,tenure_days,churned
27,loyal_vip,37.0,web,21.0,2426.34,115.54,72.04098701433789,3.0,5.0,3.0,264.0,281,0
28,regular,27.0,mobile_app,34.0,1999.32,58.80352941176471,41.58680493547843,3.0,5.0,5.0,254.0,261,0
29,loyal_vip,36.0,in_store,13.0,1882.69,144.8223076923077,88.38528696883945,3.0,4.0,2.0,176.0,182,0
30,bargain_hunter,,web,2.0,44.65,22.325,25.66090508925981,2.0,1.0,67.0,11.0,204,1
31,regular,43.0,in_store,17.0,1295.97,76.2335294117647,51.95245493973029,3.0,5.0,5.0,199.0,224,1
32,loyal_vip,38.0,mobile_app,64.0,6860.9,107.2015625,89.27935763157765,3.0,5.0,5.0,324.0,344,0
33,regular,26.0,in_store,11.0,595.87,54.17,40.16176714239552,3.0,5.0,38.0,259.0,319,1
34,bargain_hunter,26.0,web,1.0,14.37,14.37,0.0,1.0,1.0,20.0,0.0,117,1
35,regular,43.0,mobile_app,19.0,1254.94,66.04947368421053,23.43298541080837,3.0,5.0,27.0,309.0,336,1
36,bargain_hunter,21.0,web,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,56,1
37,loyal_vip,42.0,web,19.0,1793.9199999999998,94.41684210526314,73.08301292614154,3.0,5.0,7.0,107.0,137,0
38,bargain_hunter,66.0,mobile_app,7.0,194.32999999999998,27.76142857142857,17.554393019575308,2.0,5.0,59.0,138.0,242,1
39,regular,45.0,in_store,7.0,301.88,43.12571428571429,31.353191149197162,3.0,4.0,14.0,73.0,96,0
40,regular,57.0,web,10.0,640.0699999999999,64.00699999999999,38.65227779690207,3.0,4.0,11.0,191.0,224,0
41,regular,28.0,web,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8,0
42,loyal_vip,53.0,in_store,25.0,3057.53,122.30120000000001,86.17455963140553,3.0,5.0,20.0,214.0,242,0
43,bargain_hunter,40.0,web,2.0,42.47,21.235,15.50685171142099,1.0,1.0,122.0,2.0,195,1
44,loyal_vip,47.0,web,4.0,386.42,96.605,32.97837422716085,2.0,2.0,11.0,18.0,34,0
45,bargain_hunter,27.0,web,2.0,77.47,38.735,12.593571772932412,1.0,2.0,33.0,43.0,109,0
46,bargain_hunter,55.0,in_store,9.0,240.51000000000002,26.723333333333336,26.22692366633952,3.0,5.0,56.0,293.0,351,1
47,bargain_hunter,33.0,in_store,3.0,74.04,24.680000000000003,3.250123074592716,3.0,2.0,44.0,206.0,256,1
48,regular,45.0,web,14.0,616.53,44.03785714285714,34.54455432505221,3.0,5.0,22.0,201.0,232,1
49,regular,33.0,mobile_app,3.0,53.06999999999999,17.689999999999998,10.901279741388164,2.0,2.0,19.0,8.0,45,1
50,regular,30.0,mobile_app,6.0,151.73000000000002,25.288333333333338,18.368581237174162,3.0,4.0,9.0,71.0,103,0
51,loyal_vip,18.0,in_store,24.0,2580.04,107.50166666666667,54.912586793974626,3.0,5.0,10.0,143.0,157,0
52,regular,53.0,in_store,3.0,283.47,94.49000000000001,61.034536944258036,2.0,3.0,7.0,31.0,40,0
53,loyal_vip,18.0,web,61.0,7773.4,127.43278688524589,83.10388446860047,3.0,5.0,1.0,310.0,335,0
54,bargain_hunter,32.0,web,2.0,9.57,4.785,0.3323401871576775,2.0,2.0,191.0,124.0,359,1
55,bargain_hunter,38.0,in_store,4.0,85.43,21.3575,16.972339015782907,3.0,4.0,8.0,87.0,108,1
56,regular,37.0,web,4.0,433.94,108.485,113.42210381285182,2.0,3.0,26.0,80.0,120,1
57,bargain_hunter,22.0,mobile_app,6.0,121.5,20.25,12.452477665107454,3.0,3.0,5.0,274.0,310,1
58,loyal_vip,47.0,mobile_app,46.0,6019.91,130.86760869565217,88.14430010398436,3.0,5.0,11.0,170.0,181,0
59,regular,50.0,web,9.0,706.04,78.44888888888889,71.9468711002161,3.0,5.0,21.0,221.0,242,0
60,bargain_hunter,50.0,mobile_app,9.0,200.86,22.317777777777778,12.48286703623989,2.0,4.0,71.0,146.0,246,1
61,one_off,37.0,mobile_app,2.0,113.07000000000001,56.535000000000004,20.11718792475728,2.0,2.0,103.0,141.0,252,1
62,regular,49.0,web,11.0,587.14,53.376363636363635,31.449562881772227,3.0,4.0,15.0,94.0,133,1
63,loyal_vip,35.0,web,15.0,1654.78,110.31866666666666,59.81547289870104,3.0,5.0,20.0,192.0,246,0
64,bargain_hunter,18.0,mobile_app,7.0,121.22,17.31714285714286,9.563142290909955,3.0,4.0,31.0,188.0,257,1
65,loyal_vip,36.0,web,30.0,3575.22,119.17399999999999,86.15890866340501,3.0,5.0,9.0,207.0,258,0
66,regular,,mobile_app,4.0,202.49,50.6225,11.996595003027597,3.0,3.0,17.0,38.0,73,1
67,loyal_vip,37.0,web,5.0,534.83,106.96600000000001,58.252131548982824,3.0,3.0,2.0,28.0,31,0
68,bargain_hunter,41.0,web,5.0,110.34,22.068,11.890625298948747,3.0,2.0,36.0,164.0,302,0
69,loyal_vip,57.0,mobile_app,6.0,799.13,133.18833333333333,101.74468072910084,3.0,3.0,10.0,36.0,79,0
70,one_off,40.0,in_store,3.0,100.0,33.333333333333336,5.719522124560176,3.0,2.0,25.0,50.0,89,1
71,regular,34.0,in_store,7.0,253.29000000000002,36.184285714285714,18.724219482747348,3.0,5.0,2.0,116.0,125,0
72,loyal_vip,45.0,mobile_app,32.0,3399.68,106.24,62.28940400752686,3.0,5.0,2.0,111.0,117,0
73,loyal_vip,52.0,in_store,30.0,2220.44,74.01466666666667,56.394898872598176,3.0,5.0,13.0,283.0,309,0
74,loyal_vip,18.0,mobile_app,33.0,4261.46,129.1351515151515,80.80423109749621,3.0,5.0,1.0,227.0,228,0
75,loyal_vip,39.0,mobile_app,11.0,1403.3200000000002,127.57454545454547,69.7706332726938,3.0,5.0,83.0,198.0,299,0
76,regular,42.0,web,18.0,1055.24,58.62444444444444,31.831102478037423,3.0,5.0,1.0,349.0,355,0
77,regular,38.0,mobile_app,6.0,614.14,102.35666666666667,96.86221010624662,3.0,3.0,4.0,40.0,45,0
78,loyal_vip,39.0,mobile_app,1.0,70.04,70.04,0.0,1.0,1.0,6.0,0.0,19,0
79,one_off,18.0,mobile_app,4.0,140.89000000000001,35.222500000000004,21.35998341915711,2.0,2.0,102.0,47.0,178,1
80,bargain_hunter,,mobile_app,7.0,142.76,20.39428571428571,7.594333100285714,2.0,4.0,81.0,156.0,249,1
81,bargain_hunter,41.0,web,1.0,42.66,42.66,0.0,1.0,1.0,97.0,0.0,237,1
82,regular,24.0,mobile_app,14.0,930.63,66.47357142857143,37.76293535020465,3.0,5.0,1.0,225.0,230,0
83,regular,24.0,mobile_app,18.0,951.4,52.855555555555554,42.95704574438246,3.0,5.0,4.0,346.0,358,0
84,bargain_hunter,30.0,web,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,56,1
85,regular,,in_store,9.0,485.68,53.964444444444446,38.33320333311289,3.0,5.0,2.0,82.0,124,1
86,regular,24.0,web,6.0,338.25,56.375,25.8864510893247,3.0,4.0,41.0,209.0,267,1
87,one_off,61.0,mobile_app,3.0,153.71,51.23666666666667,2.7859349118982175,2.0,2.0,119.0,70.0,217,1
88,loyal_vip,61.0,in_store,20.0,2884.08,144.204,108.23682617784316,3.0,5.0,28.0,301.0,349,0
89,regular,38.0,web,7.0,443.93,63.41857142857143,43.875064455250445,3.0,3.0,13.0,202.0,271,1
90,regular,30.0,mobile_app,7.0,347.68,49.66857142857143,29.603686948628223,3.0,4.0,26.0,102.0,155,0
91,bargain_hunter,34.0,web,3.0,47.699999999999996,15.899999999999999,11.213438366531472,3.0,2.0,63.0,106.0,231,1
92,bargain_hunter,63.0,mobile_app,4.0,137.66,34.415,24.460374077270362,2.0,3.0,33.0,67.0,208,0
93,regular,35.0,mobile_app,6.0,292.77,48.794999999999995,32.75033297540652,2.0,4.0,16.0,70.0,139,0
94,bargain_hunter,39.0,web,1.0,5.57,5.57,0.0,1.0,1.0,37.0,0.0,78,1
95,one_off,49.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25,1
96,regular,18.0,mobile_app,4.0,234.35999999999999,58.589999999999996,43.265012808657914,3.0,3.0,74.0,96.0,172,1
97,regular,55.0,web,8.0,355.33,44.41625,36.6050027562588,2.0,5.0,32.0,149.0,216,1
98,one_off,18.0,in_store,2.0,62.15,31.075,23.93556454316463,2.0,2.0,31.0,87.0,206,1
99,bargain_hunter,18.0,in_store,3.0,118.41,39.47,7.610867230480375,2.0,1.0,5.0,200.0,232,1
100,regular,49.0,web,9.0,402.73,44.74777777777778,24.237463139620132,3.0,5.0,24.0,139.0,165,1
101,regular,50.0,mobile_app,5.0,206.88,41.376,26.663106158135438,3.0,4.0,15.0,66.0,115,0
102,loyal_vip,24.0,mobile_app,32.0,3514.38,109.824375,57.23181993000048,3.0,5.0,8.0,264.0,283,0
103,loyal_vip,40.0,mobile_app,23.0,2663.29,115.79521739130435,87.12531100085697,3.0,5.0,16.0,192.0,216,0
104,bargain_hunter,53.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1
105,regular,59.0,web,9.0,377.64,41.96,26.532779255102547,3.0,3.0,70.0,236.0,307,1
106,one_off,55.0,web,1.0,55.34,55.34,0.0,1.0,1.0,43.0,0.0,67,1
107,one_off,,mobile_app,2.0,88.58,44.29,14.69367891305646,1.0,2.0,49.0,26.0,88,1
108,one_off,47.0,web,1.0,12.77,12.77,0.0,1.0,1.0,109.0,0.0,303,1
109,bargain_hunter,42.0,web,2.0,19.93,9.965,4.263853890554882,1.0,2.0,48.0,170.0,249,1
110,bargain_hunter,39.0,web,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
111,one_off,33.0,web,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,83,1
112,regular,65.0,web,3.0,88.54,29.513333333333335,5.203521243670805,2.0,3.0,20.0,18.0,44,1
113,bargain_hunter,23.0,web,3.0,44.22,14.74,12.874964077619788,3.0,1.0,21.0,190.0,236,1
114,loyal_vip,40.0,web,36.0,4241.44,117.81777777777776,83.08088021788032,3.0,5.0,3.0,228.0,240,0
115,regular,47.0,web,2.0,41.260000000000005,20.630000000000003,10.6914545315406,2.0,1.0,44.0,18.0,62,1
116,bargain_hunter,38.0,mobile_app,12.0,306.11,25.50916666666667,17.488597042506054,3.0,4.0,2.0,324.0,331,0
117,regular,18.0,mobile_app,3.0,103.27,34.42333333333333,31.150432313747,2.0,2.0,25.0,95.0,131,1
118,bargain_hunter,18.0,mobile_app,4.0,93.73,23.4325,6.703031030809869,2.0,1.0,23.0,53.0,114,1
119,bargain_hunter,35.0,mobile_app,3.0,78.22,26.073333333333334,24.088680605905616,3.0,3.0,51.0,108.0,244,1
120,regular,47.0,web,6.0,461.86999999999995,76.97833333333332,99.76990957531568,3.0,3.0,8.0,88.0,179,1
121,regular,49.0,mobile_app,8.0,533.56,66.695,24.614879936447267,3.0,5.0,20.0,143.0,167,0
122,bargain_hunter,57.0,mobile_app,3.0,84.11999999999999,28.039999999999996,18.280164113048876,1.0,2.0,134.0,103.0,267,1
123,bargain_hunter,29.0,web,5.0,107.22,21.444,6.264453687273935,2.0,2.0,127.0,152.0,283,1
124,bargain_hunter,34.0,web,2.0,27.35,13.675,4.193143212436227,2.0,2.0,19.0,11.0,112,1
125,loyal_vip,52.0,web,17.0,3382.63,198.97823529411767,101.16107757156988,3.0,5.0,1.0,124.0,142,0
126,regular,36.0,web,17.0,979.21,57.60058823529412,66.81810780680902,3.0,5.0,5.0,129.0,134,0
127,bargain_hunter,43.0,web,2.0,62.41,31.205,9.779286783809951,1.0,2.0,12.0,49.0,266,1
128,regular,21.0,web,2.0,116.38,58.19,52.0006326884587,1.0,2.0,6.0,47.0,72,1
129,regular,23.0,mobile_app,3.0,132.76999999999998,44.25666666666666,35.307911766816986,2.0,3.0,19.0,42.0,97,0
130,bargain_hunter,22.0,mobile_app,1.0,37.32,37.32,0.0,1.0,1.0,48.0,0.0,103,1
131,bargain_hunter,65.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8,1
132,regular,36.0,web,6.0,195.06,32.51,34.21894212274833,2.0,2.0,8.0,145.0,198,0
133,regular,35.0,mobile_app,14.0,661.06,47.21857142857142,39.30654336937238,3.0,5.0,32.0,314.0,358,0
134,bargain_hunter,29.0,web,3.0,56.24,18.746666666666666,20.50913292495159,2.0,3.0,64.0,111.0,176,1
135,bargain_hunter,35.0,mobile_app,7.0,149.69,21.384285714285713,10.589924231933637,3.0,4.0,9.0,73.0,144,0
136,regular,53.0,mobile_app,12.0,636.01,53.00083333333333,37.77211993914254,3.0,5.0,18.0,190.0,235,0
137,one_off,38.0,mobile_app,4.0,161.27,40.3175,29.606798065084085,2.0,3.0,55.0,70.0,176,1
138,regular,32.0,mobile_app,11.0,655.01,59.54636363636364,41.93737146572905,3.0,5.0,38.0,141.0,180,1
139,bargain_hunter,49.0,web,3.0,107.07,35.69,36.52541991545067,2.0,2.0,3.0,282.0,343,1
140,loyal_vip,18.0,in_store,9.0,1399.88,155.54222222222222,118.58952333340599,3.0,4.0,4.0,90.0,95,0
141,bargain_hunter,38.0,web,8.0,239.26999999999998,29.908749999999998,15.294553127082295,3.0,4.0,65.0,176.0,241,1
142,bargain_hunter,41.0,mobile_app,1.0,34.55,34.55,0.0,1.0,1.0,9.0,0.0,119,1
143,loyal_vip,28.0,mobile_app,4.0,482.3,120.575,126.03714333481224,2.0,3.0,32.0,97.0,149,0
144,regular,56.0,mobile_app,8.0,519.3,64.9125,35.702758496868476,3.0,5.0,20.0,41.0,71,0
145,regular,18.0,mobile_app,11.0,411.89,37.444545454545455,29.02585239528251,3.0,4.0,33.0,190.0,226,1
146,regular,26.0,mobile_app,16.0,791.45,49.465625,25.796799018159856,2.0,5.0,13.0,231.0,250,0
147,bargain_hunter,38.0,in_store,6.0,136.28,22.713333333333335,23.7123484004994,3.0,2.0,2.0,254.0,271,0
148,regular,22.0,web,1.0,80.58,80.58,0.0,1.0,1.0,12.0,0.0,117,0
149,regular,29.0,in_store,6.0,306.93,51.155,40.60259141976039,3.0,3.0,3.0,119.0,190,0
150,regular,36.0,mobile_app,15.0,963.17,64.21133333333333,46.50170977911406,2.0,5.0,19.0,220.0,239,0
151,loyal_vip,40.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,0
152,bargain_hunter,39.0,web,10.0,294.05,29.405,17.106917541678214,3.0,4.0,48.0,203.0,251,0
153,regular,37.0,web,6.0,310.02,51.669999999999995,38.06541369800149,3.0,4.0,2.0,242.0,247,0
154,loyal_vip,26.0,mobile_app,8.0,958.91,119.86375,60.980082916473634,3.0,5.0,2.0,55.0,59,0
155,regular,52.0,mobile_app,1.0,71.62,71.62,0.0,1.0,1.0,9.0,0.0,58,0
156,regular,37.0,web,27.0,1605.6000000000001,59.46666666666667,52.30314757405951,3.0,5.0,3.0,273.0,281,0
157,regular,28.0,in_store,15.0,643.92,42.928,19.48993153986364,3.0,5.0,14.0,123.0,143,0
158,one_off,,web,1.0,75.32,75.32,0.0,1.0,1.0,82.0,0.0,223,1
159,regular,43.0,mobile_app,5.0,343.43,68.686,36.645931970684,3.0,3.0,56.0,79.0,160,0
160,bargain_hunter,49.0,web,2.0,19.87,9.935,2.170817818242701,1.0,2.0,23.0,40.0,65,0
161,regular,40.0,in_store,4.0,117.16,29.29,18.814478467393137,2.0,2.0,102.0,29.0,167,1
162,regular,27.0,web,1.0,60.73,60.73,0.0,1.0,1.0,13.0,0.0,15,0
163,loyal_vip,36.0,web,11.0,1576.12,143.28363636363636,127.27828143660074,3.0,5.0,20.0,88.0,108,0
164,regular,36.0,mobile_app,17.0,1139.16,67.00941176470589,48.02925950274846,3.0,5.0,18.0,233.0,266,0
165,one_off,22.0,in_store,2.0,44.66,22.33,18.497913395840083,1.0,2.0,251.0,94.0,358,1
166,one_off,42.0,web,2.0,71.99,35.995,37.75243104754977,2.0,1.0,37.0,19.0,129,0
167,bargain_hunter,20.0,web,16.0,386.42,24.15125,12.961910288739594,3.0,5.0,1.0,146.0,147,0
168,regular,37.0,in_store,11.0,511.87,46.53363636363636,20.202886562433235,3.0,5.0,10.0,169.0,195,0
169,regular,,mobile_app,21.0,1252.23,59.63,40.778868424712336,3.0,5.0,42.0,224.0,273,0
170,bargain_hunter,55.0,mobile_app,5.0,106.93,21.386000000000003,15.877980979960896,2.0,4.0,30.0,81.0,115,1
171,bargain_hunter,81.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38,1
172,regular,30.0,web,8.0,329.66,41.2075,31.682085857558594,2.0,3.0,17.0,160.0,184,0
173,regular,38.0,web,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18,0
174,regular,18.0,in_store,6.0,286.31,47.718333333333334,47.09087700039857,3.0,3.0,4.0,56.0,63,0
175,regular,42.0,mobile_app,1.0,28.21,28.21,0.0,1.0,1.0,32.0,0.0,44,0
176,bargain_hunter,21.0,web,6.0,148.21,24.701666666666668,12.216690904932754,3.0,3.0,67.0,166.0,273,0
177,loyal_vip,52.0,web,9.0,1353.0,150.33333333333334,96.85154283747885,3.0,5.0,33.0,138.0,175,1
178,regular,30.0,web,3.0,222.84,74.28,43.8411895367815,2.0,2.0,3.0,33.0,50,1
179,regular,24.0,in_store,8.0,412.90999999999997,51.613749999999996,27.45035255433239,3.0,5.0,4.0,201.0,222,1
180,loyal_vip,54.0,mobile_app,39.0,4230.91,108.4848717948718,78.63805392836872,3.0,5.0,5.0,338.0,350,0
181,loyal_vip,45.0,in_store,23.0,3158.83,137.3404347826087,80.07194370055088,3.0,5.0,6.0,207.0,213,0
182,regular,49.0,in_store,17.0,578.11,34.006470588235295,23.71507878470375,3.0,5.0,5.0,182.0,189,0
183,loyal_vip,45.0,mobile_app,13.0,1653.1,127.16153846153846,74.34756382986532,3.0,5.0,6.0,206.0,217,0
184,regular,39.0,web,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32,1
185,regular,47.0,mobile_app,10.0,689.6800000000001,68.968,48.20346156311461,3.0,5.0,8.0,187.0,219,0
186,loyal_vip,62.0,web,46.0,5484.89,119.23673913043478,69.09654585527726,3.0,5.0,8.0,246.0,257,0
187,regular,29.0,mobile_app,13.0,651.75,50.13461538461539,36.78855610453351,3.0,3.0,3.0,142.0,176,0
188,one_off,39.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78,1
189,one_off,27.0,in_store,2.0,59.349999999999994,29.674999999999997,5.833630944789016,2.0,2.0,8.0,11.0,150,1
190,one_off,25.0,mobile_app,2.0,128.32999999999998,64.16499999999999,34.881577515932385,1.0,2.0,131.0,165.0,301,1
191,loyal_vip,51.0,mobile_app,24.0,3383.89,140.99541666666667,87.25361739002531,3.0,5.0,19.0,336.0,360,0
192,bargain_hunter,45.0,mobile_app,4.0,81.99,20.4975,19.581149736417416,2.0,4.0,13.0,135.0,202,1
193,bargain_hunter,45.0,in_store,2.0,50.209999999999994,25.104999999999997,10.429825022501575,2.0,2.0,23.0,59.0,88,0
194,loyal_vip,45.0,web,10.0,1364.74,136.474,70.63617977590049,3.0,5.0,47.0,164.0,225,1
195,bargain_hunter,34.0,in_store,8.0,208.23,26.02875,16.07768856654641,3.0,5.0,50.0,138.0,193,1
196,regular,42.0,web,12.0,475.92,39.660000000000004,31.634644415145985,3.0,4.0,2.0,119.0,124,1
197,regular,18.0,web,14.0,910.61,65.04357142857143,40.40617881294563,3.0,5.0,1.0,189.0,197,0
198,bargain_hunter,19.0,in_store,2.0,87.01,43.505,19.5797867710555,2.0,2.0,26.0,18.0,214,1
199,loyal_vip,37.0,mobile_app,4.0,466.25,116.5625,50.405135568379016,2.0,3.0,1.0,33.0,35,0
200,bargain_hunter,32.0,mobile_app,9.0,238.41,26.49,14.793819655518313,3.0,3.0,76.0,179.0,278,1
201,regular,24.0,web,21.0,1039.02,49.47714285714286,25.729458436363785,3.0,5.0,1.0,310.0,328,0
202,loyal_vip,29.0,mobile_app,23.0,2341.09,101.78652173913044,86.93852669395437,3.0,5.0,3.0,152.0,160,0
203,bargain_hunter,42.0,mobile_app,3.0,43.6,14.533333333333333,9.36136920184934,2.0,3.0,14.0,102.0,204,1
204,one_off,40.0,web,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,316,1
205,regular,29.0,mobile_app,15.0,1093.72,72.91466666666666,58.29651164112489,3.0,4.0,48.0,260.0,328,0
206,regular,43.0,web,10.0,385.01,38.501,28.861264871796596,3.0,5.0,3.0,112.0,133,0
207,loyal_vip,34.0,mobile_app,2.0,137.99,68.995,33.21280551233214,1.0,2.0,9.0,1.0,41,0
208,one_off,46.0,in_store,2.0,144.69,72.345,68.97826650474771,2.0,1.0,52.0,37.0,95,1
209,one_off,43.0,web,1.0,28.75,28.75,0.0,1.0,1.0,26.0,0.0,36,1
210,bargain_hunter,26.0,web,2.0,31.630000000000003,15.815000000000001,1.4637110370561555,2.0,2.0,56.0,8.0,97,1
211,loyal_vip,24.0,mobile_app,19.0,1886.24,99.27578947368421,49.83840646594078,3.0,5.0,2.0,177.0,183,0
212,bargain_hunter,51.0,mobile_app,3.0,94.28999999999999,31.429999999999996,14.395982078343941,2.0,2.0,163.0,122.0,354,1
213,bargain_hunter,30.0,web,7.0,236.75,33.82142857142857,14.59834171926322,2.0,4.0,9.0,226.0,243,1
214,bargain_hunter,64.0,mobile_app,11.0,369.61,33.60090909090909,27.771349788782487,3.0,4.0,21.0,256.0,309,0
215,loyal_vip,22.0,web,24.0,3707.03,154.45958333333334,85.26650111774447,3.0,5.0,8.0,172.0,181,0
216,one_off,64.0,mobile_app,2.0,84.67,42.335,19.579786771055502,2.0,2.0,19.0,288.0,307,1
217,regular,39.0,mobile_app,12.0,522.42,43.535,28.92254373950598,3.0,4.0,28.0,143.0,171,0
218,regular,46.0,in_store,6.0,274.96,45.82666666666666,25.404341098848967,3.0,3.0,12.0,23.0,49,0
219,loyal_vip,32.0,mobile_app,5.0,797.67,159.534,117.95265651946971,3.0,4.0,41.0,41.0,85,1
220,regular,40.0,mobile_app,11.0,618.08,56.189090909090915,26.345841210538506,3.0,4.0,33.0,275.0,313,0
221,regular,57.0,mobile_app,2.0,170.41000000000003,85.20500000000001,64.43864096953008,2.0,2.0,48.0,46.0,141,1
222,bargain_hunter,20.0,web,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,66,1
223,bargain_hunter,18.0,mobile_app,1.0,35.32,35.32,0.0,1.0,1.0,58.0,0.0,87,1
224,bargain_hunter,24.0,web,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33,1
225,regular,56.0,in_store,3.0,128.85,42.949999999999996,31.253379017315872,2.0,2.0,8.0,59.0,82,1
226,one_off,35.0,mobile_app,3.0,70.38,23.459999999999997,17.1200350466931,2.0,2.0,200.0,130.0,350,1
227,bargain_hunter,28.0,mobile_app,4.0,107.73,26.9325,25.845949231294767,3.0,3.0,1.0,142.0,291,0
228,bargain_hunter,,web,4.0,69.12,17.28,6.90707366883159,2.0,1.0,11.0,243.0,365,1
229,regular,,mobile_app,18.0,1197.44,66.52444444444444,31.553503249564248,3.0,4.0,10.0,268.0,282,0
230,bargain_hunter,75.0,web,5.0,101.42,20.284,15.320753245190001,3.0,3.0,12.0,84.0,137,0
231,regular,27.0,web,4.0,279.62,69.905,31.557019821269563,3.0,4.0,3.0,67.0,93,0
232,regular,38.0,mobile_app,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,0
233,one_off,53.0,mobile_app,1.0,58.63,58.63,0.0,1.0,1.0,11.0,0.0,80,1
234,loyal_vip,21.0,web,7.0,942.04,134.57714285714286,80.86607193672877,3.0,2.0,26.0,40.0,83,0
235,loyal_vip,32.0,mobile_app,47.0,6489.43,138.07297872340425,105.1451437178915,3.0,5.0,4.0,248.0,259,0
236,bargain_hunter,36.0,mobile_app,12.0,346.69,28.890833333333333,15.806563342389444,3.0,4.0,3.0,284.0,308,0
237,bargain_hunter,32.0,web,3.0,96.00999999999999,32.00333333333333,16.797334113880495,2.0,3.0,34.0,92.0,131,0
238,bargain_hunter,48.0,web,7.0,127.2,18.17142857142857,10.009849197284689,2.0,4.0,80.0,213.0,338,1
239,bargain_hunter,52.0,mobile_app,4.0,76.66,19.165,8.128027641029117,2.0,4.0,21.0,60.0,86,0
240,regular,18.0,web,19.0,1254.79,66.04157894736842,38.41016695025158,3.0,4.0,32.0,203.0,252,0
